n_partitions time std median mad
10 5.287390823364258 0.6115668978074174 5.123610305786133 0.16368460655212402
15 5.026489973068237 0.038007061893357834 5.027261734008789 0.02902817726135254
20 4.222166404724121 0.18963853065880806 4.171773433685303 0.11747121810913086
25 3.780636968612671 0.30967278479365123 3.676246404647827 0.21450161933898926
30 3.173331480026245 0.15745397987794993 3.143261194229126 0.06642484664916992
35 2.917805871963501 0.16596869143276216 2.939847230911255 0.10327291488647461
40 3.2568984031677246 0.25620390492075934 3.256166458129883 0.14333653450012207
45 2.9091028594970703 0.2781762897914404 2.971721649169922 0.11055493354797363
50 3.2235289573669434 0.23747101025489203 3.142390012741089 0.09498357772827148
55 3.1470919036865235 0.34142887929144916 3.1559653282165527 0.30702781677246094
60 3.0125166893005373 0.24415559890528185 3.020355224609375 0.15554380416870117
65 3.086783084869385 0.24336762782680071 3.0678446292877197 0.11763167381286621
70 3.0824318313598633 0.3376043520483162 3.054903507232666 0.20281147956848145
75 2.9407258319854734 0.22018460685772687 2.9698517322540283 0.16304445266723633
80 2.8371043682098387 0.22612989122205343 2.855081796646118 0.13387155532836914
85 3.0442433738708496 0.2396718220535055 3.080195665359497 0.1684889793395996
90 2.8741670513153075 0.29233258175609406 2.834177255630493 0.2358534336090088
95 2.9080451679229737 0.23634937530000233 2.8483493328094482 0.20830440521240234
100 2.2364683151245117 0.2460114608301255 2.4709339141845703 0.052976369857788086
105 2.074967551231384 0.14957390630842549 2.0736993551254272 0.03542435169219971
100 2.7018813371658323 0.2515239375254842 2.619245767593384 0.10564649105072021
150 2.773310589790344 0.30010197827612245 2.7305703163146973 0.24632155895233154
200 2.6853439569473267 0.169757119398807 2.7385486364364624 0.06466233730316162
250 2.930435872077942 0.14624189000620033 2.972644090652466 0.14291369915008545
300 2.83535258769989 0.14768538087655797 2.7566049098968506 0.06457066535949707
350 2.99726984500885 0.19120656173912165 2.985531806945801 0.07012081146240234
400 3.070683407783508 0.18905550391128306 3.0314961671829224 0.10092103481292725
450 3.015117144584656 0.19802945469430558 2.962643265724182 0.13691341876983643
500 3.1328309774398804 0.22838325486595096 3.133365035057068 0.21676898002624512
