n_partitions time std median mad
10 5.488673305511474 0.2814271230145891 5.478093385696411 0.09037590026855469
15 4.111369073390961 1.0975356167804051 3.6436492204666138 0.11127960681915283
20 3.072988498210907 0.5318146907486438 2.832824468612671 0.16642522811889648
25 3.4210970997810364 0.16534798641634174 3.3671469688415527 0.07473611831665039
30 3.177504062652588 0.367015972318209 3.1136945486068726 0.12205386161804199
35 2.790507197380066 0.22413379436668374 2.7224544286727905 0.0772559642791748
40 2.765630340576172 0.30662639092714866 2.9138630628585815 0.1792910099029541
45 2.8327733874320984 0.287615054732775 2.7880971431732178 0.0508267879486084
50 2.711814057826996 0.1370712423299031 2.6890288591384888 0.07773995399475098
55 2.6044681906700133 0.23964819163884613 2.5481770038604736 0.17493629455566406
60 2.6024782538414 0.223796755281535 2.656497359275818 0.23313474655151367
65 2.6662827253341677 0.1781490633864953 2.701557159423828 0.13978171348571777
70 2.6242635011672975 0.17293610946470553 2.600001811981201 0.10362040996551514
75 2.368882191181183 0.134918640282988 2.3533997535705566 0.1201251745223999
80 2.4071478247642517 0.1402901700916178 2.4204111099243164 0.04735720157623291
85 2.2820906162261965 0.14876511188659736 2.2988420724868774 0.12477707862854004
90 2.2750532746315004 0.1615847159474653 2.1952342987060547 0.06189417839050293
95 2.2460342407226563 0.14730591198874526 2.2243406772613525 0.11185932159423828
100 2.2862385630607607 0.19965562211416954 2.251701235771179 0.14687633514404297
105 2.074967551231384 0.14957390630842549 2.0736993551254272 0.03542435169219971
100 2.0904167890548706 0.09895188816229625 2.067167639732361 0.03967273235321045
150 2.0220897674560545 0.135716214970042 1.9977996349334717 0.04507160186767578
200 2.08677818775177 0.1970950599903868 2.0406761169433594 0.04604136943817139
250 2.42965145111084 0.34374196453403083 2.234212636947632 0.06727194786071777
300 2.608808135986328 0.1818113081216462 2.6245256662368774 0.1751490831375122
350 2.8656123161315916 0.1774996039005692 2.879560947418213 0.0700005292892456
400 3.049198937416077 0.14202173062236437 3.0093679428100586 0.13180577754974365
450 3.2352683305740357 0.21504589459545145 3.1510051488876343 0.13639605045318604
500 3.060951566696167 0.16438846535889787 3.0173364877700806 0.13711726665496826
