n_partitions time stdev median mad
10 2.8224787950515746 0.22031407534632194 2.9159308671951294 0.044371604919433594
15 1.9175423860549927 0.17398752161629186 1.8736759424209595 0.014648079872131348
20 1.4293053030967713 0.0393948287326466 1.4231531620025635 0.02434396743774414
25 1.7663179755210876 0.12337080743309109 1.7107981443405151 0.028578758239746094
30 1.6693384170532226 0.0643709324166777 1.659367322921753 0.03593933582305908
35 1.4533890724182128 0.10488141106331393 1.4222830533981323 0.02587759494781494
40 1.559547746181488 0.08351495948089481 1.5329430103302002 0.02748239040374756
45 1.808955156803131 0.16912881886066944 1.79924476146698 0.02968013286590576
50 1.5972893595695496 0.0898141865330595 1.6136146783828735 0.024894356727600098
55 1.3874633193016053 0.15909007390780183 1.2858372926712036 0.04717373847961426
60 1.5234078884124755 0.12364348759241976 1.4803266525268555 0.050376057624816895
65 1.424668800830841 0.07814349264481586 1.4002357721328735 0.026643991470336914
70 1.4145205736160278 0.07265105398118699 1.4135369062423706 0.03726661205291748
75 1.391998028755188 0.0925093345624848 1.3653801679611206 0.05496323108673096
80 1.46507328748703 0.13527494321359929 1.4374589920043945 0.09449458122253418
85 1.4464986324310303 0.09278138599451967 1.4428790807724 0.07503581047058105
90 1.185163640975952 0.06717869824180468 1.1612423658370972 0.01699531078338623
95 1.2747007489204407 0.06747958957681008 1.2655649185180664 0.02138233184814453
100 1.245473039150238 0.06472885959333605 1.2280079126358032 0.018544912338256836
105 1.1791576862335205 0.09393778412833088 1.160219430923462 0.0175020694732666
100 1.111550545692444 0.04793983395746647 1.1150071620941162 0.023282527923583984
150 1.1759067058563233 0.13938813349234414 1.1477447748184204 0.034713029861450195
200 1.3067952394485474 0.3058611990875802 1.1737091541290283 0.04310274124145508
250 1.3003294706344604 0.24458542477763656 1.192978024482727 0.020035266876220703
300 1.5793473482131958 0.12771886093998921 1.501038455963135 0.06418919563293457
350 1.6152354717254638 0.2331669983771875 1.5320011377334595 0.0983729362487793
400 1.5661081075668335 0.19703336852237596 1.5311532592773438 0.07927608489990234
450 1.6989516973495484 0.27415797126650554 1.5428067445755005 0.07038402557373047
500 1.7360904932022094 0.20325460506184426 1.6964589357376099 0.15914690494537354
